Year,CO2
-803720,207.2854401
-803183,202.2268391
-802574,204.861938
-802574,204.861938
-801976,202.9217232
-801760,202.6471059
-800923,198.6572142
-800923,198.6572142
-800923,198.6572142
-799287,198.6836109
-799287,198.6836109
-799287,198.6836109
-799287,198.6836109
-799287,198.6836109
-796732,200.4894559
-796732,200.4894559
-796732,200.4894559
-796732,200.4894559
-795430,197.9087863
-795430,197.9087863
-794904,198.7924036
-794904,198.7924036
-793738,204.6175064
-793738,204.6175064
-793173,208.7893628
-793173,208.7893628
-793173,208.7893628
-791904,218.3926417
-791570,213.3577596
-791570,213.3577596
-790668,214.4503514
-790668,214.4503514
-790082,224.6857623
-789108,230.5501347
-789108,230.5501347
-788690,227.3777503
-788004,235.4857431
-788004,235.4857431
-787545,238.6409536
-786743,257.0184549
-786530,257.1989367
-785855,265.9973287
-785855,265.9973287
-785407,269.3559593
-784614,264.3450291
-784241,262.2298083
-784241,262.2298083
-783570,259.6646238
-783085,255.8455403
-782313,260.9181501
-782313,260.9181501
-782313,260.9181501
-781250,255.0181764
-780779,257.4363037
-780779,257.4363037
-779938,251.50919
-779614,257.2103392
-779614,257.2103392
-778770,252.5212569
-778240,254.4321063
-778240,254.4321063
-777419,254.6895621
-777109,254.9270444
-776284,252.4555389
-776284,252.4555389
-775733,247.3032103
-775733,247.3032103
-774834,248.9234726
-774383,245.3180553
-774383,245.3180553
-773589,241.7410825
-773010,238.3850776
-773010,238.3850776
-772095,239.2312024
-771735,237.7794476
-771301,246.0305818
-771047,243.854752
-770526,243.8852524
-770226,239.7120056
-769864,234.2405482
-769570,236.3189003
-769072,229.5642363
-768650,230.6269034
-767702,225.8663567
-767702,225.8663567
-767112,221.6409365
-767112,221.6409365
-766168,223.8179649
-765798,224.864666
-765798,224.864666
-764860,230.6229188
-764860,230.6229188
-764240,232.1154555
-763638,233.6609057
-763233,222.9260864
-762728,223.8929502
-762728,223.8929502
-761822,219.9481577
-761822,219.9481577
-761153,213.9998029
-761153,213.9998029
-760217,214.694008
-759915,216.6408086
-758991,222.7085789
-758991,222.7085789
-758567,225.6158254
-758159,225.3736676
-757613,226.9430115
-757187,222.7200859
-757187,222.7200859
-756413,218.3519527
-755836,213.6113901
-755836,213.6113901
-754902,209.4450797
-754617,208.1036711
-754617,208.1036711
-753638,203.2996955
-753638,203.2996955
-753166,199.0460536
-751986,203.9027966
-751986,203.9027966
-751540,195.4338892
-751540,195.4338892
-750617,197.495726
-750617,197.495726
-750025,193.5471714
-749087,191.2960363
-749087,191.2960363
-748757,192.0759224
-747865,190.1748369
-747865,190.1748369
-747314,188.6788749
-747314,188.6788749
-746388,187.5437569
-745991,187.9522843
-745991,187.9522843
-745228,187.9198816
-744671,190.2415493
-744671,190.2415493
-743722,187.2923244
-743722,187.2923244
-742574,188.9688197
-742574,188.9688197
-742010,188.1795998
-742010,188.1795998
-741113,187.3271928
-741113,187.3271928
-740696,188.646642
-739925,189.1426275
-739925,189.1426275
-739381,184.7670847
-738512,183.3925392
-738512,183.3925392
-738157,185.4023665
-737226,185.6096601
-737226,185.6096601
-736632,191.7441063
-736632,191.7441063
-735711,204.5191039
-735321,206.9201812
-734573,213.1440204
-734573,213.1440204
-734158,217.194473
-733461,217.8828377
-733186,214.6624205
-732514,216.1485999
-732514,216.1485999
-732073,210.6017427
-731380,207.720752
-731044,208.1143039
-730373,213.7318788
-730373,213.7318788
-729912,211.6232109
-729235,210.7023731
-728959,210.1635175
