Year,insolation,CO2,tempchange
-339250,439.58,-54.50,-1.7
-338250,445.25,-52.65,0.9
-337250,452.09,-50.97,3.7
-336250,459.56,-51.00,4.1
-335250,467.02,-51.65,3.1
-334250,473.84,-53.02,1.5
-333250,479.41,-53.51,1.3
-332250,483.21,-54.04,0.7
-331250,484.84,-53.87,1.5
-330250,484.12,-54.02,1.6
-329250,481.05,-54.82,-0.1
-328250,475.84,-55.17,-0.7
-327250,468.9,-55.69,-0.6
-326250,460.79,-55.99,-0.8
-325250,452.16,-56.22,-1.8
-324250,443.75,-56.72,-2.5
-323250,436.25,-57.39,-3.1
-322250,430.28,-57.12,-2.0
-321250,426.38,-57.88,-3.0
-320250,424.9,-57.95,-3.7
-319250,426.02,-57.84,-3.8
-318250,429.72,-57.14,-2.5
-317250,435.76,-56.43,-0.7
-316250,443.68,-56.16,-1.0
-315250,452.86,-55.99,-0.9
-314250,462.5,-56.28,-1.7
-313250,471.75,-56.46,-2.2
-312250,479.75,-56.97,-2.9
-311250,485.73,-56.94,-3.2
-310250,489.12,-57.44,-3.9
-309250,489.58,-57.15,-3.5
-308250,487.1,-57.87,-3.5
-307250,481.92,-58.01,-3.9
-306250,474.57,-57.55,-3.9
-305250,465.75,-57.31,-3.3
-304250,456.27,-57.66,-3.7
-303250,446.96,-57.91,-4.5
-302250,438.59,-58.30,-5.0
-301250,431.82,-57.62,-3.3
-300250,427.13,-57.90,-4.4
-299250,424.84,-58.05,-4.9
-298250,425.06,-58.66,-5.5
-297250,427.7,-58.04,-5.1
-296250,432.53,-57.23,-4.0
-295250,439.13,-57.93,-5.9
-294250,446.95,-57.26,-4.7
-293250,455.36,-57.59,-4.0
-292250,463.68,-56.98,-3.1
-291250,471.25,-56.67,-3.9
-290250,477.47,-55.63,-1.5
-289250,481.87,-56.17,-1.9
-288250,484.17,-56.07,-2.7
-287250,484.23,-56.49,-3.0
-286250,482.16,-57.20,-3.6
-285250,478.22,-57.32,-3.6
-284250,472.82,-58.07,-3.9
-283250,466.45,-58.10,-4.1
-282250,459.66,-58.78,-4.9
-281250,452.99,-59.32,-6.3
-280250,446.9,-59.32,-6.7
-279250,441.77,-59.36,-7.1
-278250,437.89,-59.42,-7.1
-277250,435.42,-58.92,-6.2
-276250,434.39,-59.37,-6.8
-275250,434.75,-59.37,-6.8
-274250,436.37,-59.33,-6.9
-273250,439.04,-59.19,-7.3
-272250,442.53,-59.56,-7.7
-271250,446.59,-59.54,-7.1
-270250,450.96,-59.75,-8.0
-269250,455.42,-59.48,-8.2
-268250,459.76,-58.88,-7.5
-267250,463.81,-58.91,-7.1
-266250,467.41,-58.75,-7.1
-265250,470.41,-58.49,-7.4
-264250,472.7,-58.13,-6.6
-263250,474.16,-58.22,-6.2
-262250,474.68,-57.34,-5.6
-261250,474.18,-58.08,-6.7
-260250,472.59,-58.13,-6.4
-259250,469.93,-58.51,-6.6
-258250,466.24,-58.21,-5.7
-257250,461.66,-57.95,-5.9
-256250,456.39,-58.02,-6.2
-255250,450.71,-58.36,-6.6
-254250,444.97,-58.38,-7.4
-253250,439.55,-58.44,-7.3
-252250,434.87,-58.40,-6.8
-251250,431.32,-58.01,-6.5
-250250,429.24,-58.10,-7.3
-249250,428.92,-57.36,-4.2
-248250,430.53,-56.58,-4.9
-247250,434.14,-57.04,-5.8
-246250,439.64,-56.20,-4.0
-245250,446.8,-54.81,-1.8
-244250,455.2,-52.92,1.5
-243250,464.27,-51.84,3.4
-242250,473.33,-53.25,1.4
-241250,481.59,-54.15,-0.1
-240250,488.27,-55.09,-1.6
-239250,492.65,-55.14,-1.6
-238250,494.16,-55.60,-1.4
-237250,492.47,-56.21,-1.2
-236250,487.58,-57.17,-3.1
-235250,479.79,-57.97,-4.7
-234250,469.73,-58.29,-4.5
-233250,458.26,-58.75,-5.5
-232250,446.43,-59.06,-5.1
-231250,435.3,-58.95,-6.1
-230250,425.87,-58.59,-5.8
-229250,419,-57.69,-4.8
-228250,415.28,-57.84,-5.4
-227250,415.07,-58.48,-5.7
-226250,418.4,-58.55,-6.5
-225250,425.05,-58.01,-5.5
-224250,434.51,-57.93,-5.9
-223250,446.03,-57.57,-4.8
-222250,458.67,-56.07,-3.3
-221250,471.39,-56.26,-3.4
-220250,483.12,-55.15,-2.1
-219250,492.86,-54.39,-1.9
-218250,499.78,-54.18,1.0
-217250,503.32,-53.88,1.3
-216250,503.2,-54.42,-0.7
-215250,499.48,-54.63,0.1
-214250,492.52,-54.44,-2.0
-213250,482.94,-54.24,-1.4
-212250,471.56,-54.99,-1.6
-211250,459.31,-55.48,-2.6
-210250,447.13,-56.39,-2.1
-209250,435.93,-56.31,-3.4
-208250,426.49,-56.58,-3.2
-207250,419.46,-56.33,-3.1
-206250,415.3,-56.48,-3.0
-205250,414.28,-57.37,-4.1
-204250,416.46,-56.98,-4.3
-203250,421.69,-56.44,-1.9
-202250,429.63,-55.59,-2.3
-201250,439.71,-55.07,-0.5
-200250,451.21,-54.75,1.4
-199250,463.24,-54.83,-1.2
-198250,474.83,-55.06,-0.3
-197250,485.02,-55.82,-1.6
-196250,492.91,-56.35,-2.1
-195250,497.81,-57.64,-3.4
-194250,499.29,-57.16,-2.0
-193250,497.23,-57.33,-4.4
-192250,491.86,-58.71,-4.8
-191250,483.71,-57.96,-4.4
-190250,473.55,-57.71,-1.2
-189250,462.3,-57.69,-3.9
-188250,450.93,-58.86,-4.9
-187250,440.37,-58.67,-7.0
-186250,431.41,-59.56,-6.3
-185250,424.69,-59.17,-6.6
-184250,420.62,-59.08,-7.3
-183250,419.41,-58.90,-7.5
-182250,421.05,-58.99,-6.7
-181250,425.31,-59.14,-7.1
-180250,431.81,-57.52,-5.0
-179250,440,-57.07,-5.4
-178250,449.23,-56.97,-4.6
-177250,458.77,-57.85,-6.1
-176250,467.91,-58.02,-6.9
-175250,475.96,-58.16,-9.1
-174250,482.38,-57.40,-7.9
-173250,486.73,-56.75,-6.8
-172250,488.78,-58.03,-6.6
-171250,488.5,-58.49,-6.6
-170250,486.02,-57.99,-6.4
-169250,481.63,-57.83,-5.7
-168250,475.75,-57.84,-6.0
-167250,468.86,-58.75,-7.1
-166250,461.47,-58.66,-8.5
-165250,454.08,-59.17,-7.9
-164250,447.15,-58.04,-6.9
-163250,441.07,-57.59,-5.8
-162250,436.14,-58.99,-7.8
-161250,432.57,-58.79,-6.6
-160250,430.51,-58.49,-6.8
-159250,430,-58.27,-8.2
-158250,431.03,-59.19,-8.3
-157250,433.49,-59.38,-8.8
-156250,437.24,-59.43,-8.8
-155250,442.08,-59.44,-8.2
-154250,447.75,-59.17,-7.2
-153250,453.94,-59.22,-7.6
-152250,460.33,-58.50,-6.3
-151250,466.55,-58.33,-5.3
-150250,472.21,-57.96,-5.7
-149250,476.95,-57.89,-6.3
-148250,480.42,-58.26,-5.8
-147250,482.33,-58.55,-6.6
-146250,482.48,-58.84,-7.2
-145250,480.77,-59.21,-7.4
-144250,477.24,-58.92,-7.5
-143250,472.07,-58.94,-8.5
-142250,465.57,-59.32,-8.1
-141250,458.16,-59.06,-8.3
-140250,450.36,-59.66,-8.4
-139250,442.72,-59.13,-8.2
-138250,435.8,-58.82,-7.8
-137250,430.12,-58.33,-7.8
-136250,426.13,-57.66,-7.1
-135250,424.17,-56.23,-5.1
-134250,424.47,-55.15,-3.0
-133250,427.11,-53.76,-1.0
-132250,431.99,-51.93,3.4
-131250,438.89,-51.14,3.5
-130250,447.4,-51.33,3.4
-129250,456.96,-53.03,1.0
-128250,466.91,-53.02,2.0
-127250,476.47,-53.35,2.2
-126250,484.87,-53.63,2.0
-125250,491.35,-53.55,1.7
-124250,495.28,-54.23,1.5
-123250,496.23,-54.77,0.6
-122250,494,-55.52,1.1
-121250,488.69,-55.78,1.1
-120250,480.68,-56.41,-0.5
-119250,470.63,-56.96,-1.9
-118250,459.38,-57.62,-3.3
-117250,447.89,-58.19,-2.0
-116250,437.14,-58.39,-2.1
-115250,428.05,-58.36,-2.9
-114250,421.39,-58.44,-3.6
-113250,417.7,-58.50,-3.6
