Year,Value
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0.01
1940,0.16
1941,0.27
1942,0.11
1943,0.11
1944,0.28
1945,0.18
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0.04
1953,0.13
1954,0
1955,0
1956,0
1957,0.07
1958,0.12
1959,0.08
1960,0.05
1961,0.09
1962,0.11
1963,0.12
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0.1
1970,0.06
1971,0
1972,0.04
1973,0.19
1974,0
1975,0.01
1976,0
1977,0.21
1978,0.11
1979,0.23
1980,0.28
1981,0.32
1982,0.19
1983,0.36
1984,0.17
1985,0.16
1986,0.24
1987,0.38
1988,0.39
1989,0.29
1990,0.45
1991,0.39
1992,0.24
1993,0.28
1994,0.34
1995,0.47
1996,0.32
1997,0.51
1998,0.65
1999,0.44
2000,0.42
2001,0.57
2002,0.62
2003,0.64
2004,0.58
2005,0.67
2006,0.63
2007,0.62
2008,0.54
2009,0.64
2010,0.72
2011,0.57
2012,0.63
2013,0.67
2014,0.74
2015,0.93
2016,0.99
2017,0.91
2018,0.82
2019,0.95
2020,0.98
2021,0.84
